product_id,onsale_web,price,stock_quantity,stock_status,sku,total_sales,post_date,post_title,post_name,post_modified,_merge,poids,Région,Domaine,Appellation,Couleur,Millésime,Contenance,Degré d'alcool
5465,True,54.8,12,True,16034,3.0,2018-09-25 15:35:26,Clos du Mont-Olivet Châteauneuf-du-Pape 2007,clos-du-mont-olivet-chateauneuf-du-pape-2007,2020-08-21 14:25:03,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Châteauneuf-du-Pape,Rouge,2007,75cl,15%
4053,True,44.3,16,True,13127,23.0,2018-02-12 11:18:33,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,clos-du-mont-olivet-chateauneuf-du-pape-2012,2020-08-24 18:25:02,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Châteauneuf-du-Pape,Rouge,2007,75cl,15%
4053,True,44.3,16,True,13127,23.0,2018-02-12 11:18:33,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,clos-du-mont-olivet-chateauneuf-du-pape-2012,2020-08-24 18:25:02,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Châteauneuf-du-Pape,Rouge,2007,75cl,15%
6615,True,32.8,8,True,16071,0.0,2020-01-18 10:21:05,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,clos-du-mont-olivet-chateauneuf-du-pape-2018,2020-07-11 15:05:04,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Châteauneuf-du-Pape,Rouge,2019,75cl,"14,50%"
6615,True,32.8,8,True,16071,0.0,2020-01-18 10:21:05,Clos du Mont-Olivet Châteauneuf-du-Pape 2018,clos-du-mont-olivet-chateauneuf-du-pape-2018,2020-07-11 15:05:04,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Châteauneuf-du-Pape,Rouge,2019,75cl,"14,50%"
4054,True,71.6,0,True,19816,10.0,2018-02-12 11:25:39,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,clos-du-mont-olivet-chateauneuf-du-pape-papet-2018,2020-06-09 15:41:44,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Châteauneuf-du-Pape,Rouge,2018,75cl,15%
4054,True,71.6,0,True,19816,10.0,2018-02-12 11:25:39,Clos du Mont-Olivet Châteauneuf-du-Pape Cuvée du Papet 2018,clos-du-mont-olivet-chateauneuf-du-pape-papet-2018,2020-06-09 15:41:44,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Châteauneuf-du-Pape,Rouge,2018,75cl,15%
6072,True,13.6,41,True,16028,9.0,2019-05-16 15:51:57,Clos du Mont-Olivet Côtes-du-Rhône Blanc 2019,clos-du-mont-olivet-cotes-du-rhone-blanc-2019,2020-08-14 17:35:03,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Côtes-du-Rhône,Blanc,2021,75cl,"14,50%"
6072,True,13.6,41,True,16028,9.0,2019-05-16 15:51:57,Clos du Mont-Olivet Côtes-du-Rhône Blanc 2019,clos-du-mont-olivet-cotes-du-rhone-blanc-2019,2020-08-14 17:35:03,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Côtes-du-Rhône,Blanc,2021,75cl,"14,50%"
4778,True,13.9,0,True,16072,0.0,2018-04-19 13:14:36,Clos du Mont-Olivet Lirac Rosé Farel 2019,clos-du-mont-olivet-cotes-du-rhone-rose-farel-2019,2020-08-27 10:20:37,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Lirac,Rosé,2021,75cl,14%
4778,True,13.9,0,True,16072,0.0,2018-04-19 13:14:36,Clos du Mont-Olivet Lirac Rosé Farel 2019,clos-du-mont-olivet-cotes-du-rhone-rose-farel-2019,2020-08-27 10:20:37,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Lirac,Rosé,2021,75cl,14%
4056,True,12.7,0,True,16029,10.0,2018-02-12 11:38:55,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,clos-du-mont-olivet-cotes-du-rhone-vieilles-vignes-2018,2020-08-01 09:35:04,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Côtes-du-Rhône,Rouge,2019,75cl,"14,50%"
4056,True,12.7,0,True,16029,10.0,2018-02-12 11:38:55,Clos du Mont-Olivet Côtes-du-Rhône Vieilles Vignes 2018,clos-du-mont-olivet-cotes-du-rhone-vieilles-vignes-2018,2020-08-01 09:35:04,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Côtes-du-Rhône,Rouge,2019,75cl,"14,50%"
6617,True,9.9,12,True,16031,6.0,2020-01-18 10:30:35,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,clos-du-mont-olivet-igp-gard-rive-droite-2018,2020-08-07 10:15:02,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Pays du Gard,Rouge,2019,75cl,14%
6617,True,9.9,12,True,16031,6.0,2020-01-18 10:30:35,Clos du Mont-Olivet Vins de Pays du Gard Rive Droite 2018,clos-du-mont-olivet-igp-gard-rive-droite-2018,2020-08-07 10:15:02,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Pays du Gard,Rouge,2019,75cl,14%
6616,True,15.4,8,True,15781,1.0,2020-01-18 10:25:18,Clos du Mont-Olivet Lirac Rouge 2017,clos-du-mont-olivet-lirac-2017,2020-07-30 18:35:03,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Lirac,Rouge,2019,75cl,"14,50%"
6616,True,15.4,8,True,15781,1.0,2020-01-18 10:25:18,Clos du Mont-Olivet Lirac Rouge 2017,clos-du-mont-olivet-lirac-2017,2020-07-30 18:35:03,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Lirac,Rouge,2019,75cl,"14,50%"
4779,True,7.8,163,True,14300,18.0,2018-04-19 13:19:00,Clos du Mont-Olivet Vin de France La Sabonite,clos-du-mont-olivet-vin-de-france-la-sabonite,2020-08-20 18:05:03,both,1.5 kg,Rhône,Clos Du Mont-Olivet,,Rouge,0,75cl,13%
4779,True,7.8,163,True,14300,18.0,2018-04-19 13:19:00,Clos du Mont-Olivet Vin de France La Sabonite,clos-du-mont-olivet-vin-de-france-la-sabonite,2020-08-20 18:05:03,both,1.5 kg,Rhône,Clos Du Mont-Olivet,,Rouge,0,75cl,13%
6618,True,13.5,2,True,15539,0.0,2020-01-18 10:38:05,Clos du Mont-Olivet Vins de Pays du Gard Confluence 2017,clos-du-mont-olivet-vins-de-pays-du-gard-confluence-2017,2020-08-11 17:05:02,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Pays du Gard,Rouge,2019,75cl,"14,50%"
6618,True,13.5,2,True,15539,0.0,2020-01-18 10:38:05,Clos du Mont-Olivet Vins de Pays du Gard Confluence 2017,clos-du-mont-olivet-vins-de-pays-du-gard-confluence-2017,2020-08-11 17:05:02,both,1.5 kg,Rhône,Clos Du Mont-Olivet,Pays du Gard,Rouge,2019,75cl,"14,50%"
5956,True,17.2,12,True,15895,0.0,2019-04-18 09:23:08,Clos du Prieur Terrasses du Larzac 2018,clos-du-prieur-terrasses-du-larzac-2018,2020-08-07 16:15:03,both,1.5 kg,Languedoc-Roussillon,Domaine de l'Hortus,Terrasses du Larzac,Rouge,2020,75cl,"13,50%"
5956,True,17.2,12,True,15895,0.0,2019-04-18 09:23:08,Clos du Prieur Terrasses du Larzac 2018,clos-du-prieur-terrasses-du-larzac-2018,2020-08-07 16:15:03,both,1.5 kg,Languedoc-Roussillon,Domaine de l'Hortus,Terrasses du Larzac,Rouge,2020,75cl,"13,50%"
4400,True,44.0,0,True,14768,0.0,2018-03-22 11:03:06,Cognac Frapin 1270,cognac-frapin-1270,2020-07-25 16:45:02,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
4400,True,44.0,0,True,14768,0.0,2018-03-22 11:03:06,Cognac Frapin 1270,cognac-frapin-1270,2020-07-25 16:45:02,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
4406,True,157.0,3,True,7819,0.0,2018-03-22 11:42:48,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,cognac-frapin-chateau-de-fontpinot-1989-20-ans,2020-03-14 16:05:04,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,"41,30%"
4406,True,157.0,3,True,7819,0.0,2018-03-22 11:42:48,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,cognac-frapin-chateau-de-fontpinot-1989-20-ans,2020-03-14 16:05:04,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,"41,30%"
4405,True,68.1,6,True,13230,0.0,2018-03-22 11:40:06,Cognac Frapin Château de Fontpinot XO 1/2,cognac-frapin-chateau-de-fontpinot-xo-1-2,2019-12-30 09:30:07,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,41%
4405,True,68.1,6,True,13230,0.0,2018-03-22 11:40:06,Cognac Frapin Château de Fontpinot XO 1/2,cognac-frapin-chateau-de-fontpinot-xo-1-2,2019-12-30 09:30:07,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,41%
4407,True,104.0,6,True,3509,1.0,2018-03-22 11:49:53,Cognac Frapin Cigar Blend,cognac-frapin-cigar-blend,2020-07-04 09:45:03,both,1.5 kg,,,Cognac Grande Champagne 1er Cru,,0,70cl,40%
